"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 25 13:17:27 MSK 2023","Sat Nov 25 13:17:29 MSK 2023","1377","tests","test_main_wiki_page","TestMainWikiPage","","","test_wiki_multilang[italian-it.-/wiki/Pagina_principale]",""
"passed","Sat Nov 25 13:19:48 MSK 2023","Sat Nov 25 13:20:12 MSK 2023","23680","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u0412\u0430\u0441\u044f-\u041f\u0443\u043f\u043a\u0438\u043d]",""
"passed","Sat Nov 25 13:16:27 MSK 2023","Sat Nov 25 13:16:32 MSK 2023","4644","tests","test_bill_gates_page","TestBillGates","","","test_bills_photo",""
"passed","Sat Nov 25 13:17:37 MSK 2023","Sat Nov 25 13:18:02 MSK 2023","24329","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u041b\u0438\u043d\u0434\u0441\u0438-\u041b\u043e\u0445\u0430\u043d]",""
"passed","Sat Nov 25 13:20:52 MSK 2023","Sat Nov 25 13:20:55 MSK 2023","2886","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u0420\u0430\u043d\u0434\u043e\u043c\u043d\u044b\u0439-\u0427\u0443\u0432\u0430\u0447\u0435\u0447\u0438\u043a]",""
"passed","Sat Nov 25 13:16:46 MSK 2023","Sat Nov 25 13:16:49 MSK 2023","3005","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_using_button","Test of searching bar using Search button"
"passed","Sat Nov 25 13:18:43 MSK 2023","Sat Nov 25 13:19:07 MSK 2023","24074","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u0414\u044d\u0432\u0438\u0434-\u0411\u0435\u043a\u0445\u0435\u043c]",""
"passed","Sat Nov 25 13:16:40 MSK 2023","Sat Nov 25 13:16:42 MSK 2023","1867","tests","test_bill_gates_page","TestBillGates","","","test_accordance_of_context",""
"passed","Sat Nov 25 13:16:57 MSK 2023","Sat Nov 25 13:17:00 MSK 2023","2734","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_with_submit",""
"passed","Sat Nov 25 13:19:15 MSK 2023","Sat Nov 25 13:19:40 MSK 2023","24366","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u0411\u043e\u0440\u0438\u0441-\u0415\u043b\u044c\u0446\u0438\u043d]",""
"passed","Sat Nov 25 13:17:18 MSK 2023","Sat Nov 25 13:17:19 MSK 2023","1230","tests","test_main_wiki_page","TestMainWikiPage","","","test_wiki_multilang[spanish-es.-/wiki/Wikipedia:Portada]",""
"passed","Sat Nov 25 13:17:08 MSK 2023","Sat Nov 25 13:17:09 MSK 2023","1213","tests","test_main_wiki_page","TestMainWikiPage","","","test_wiki_multilang[english-en.-/wiki/Main_Page]",""
"passed","Sat Nov 25 13:20:20 MSK 2023","Sat Nov 25 13:20:44 MSK 2023","23868","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u041c\u0438\u0441\u0442\u0435\u0440-\u0422\u0432\u0438\u0441\u0442\u0435\u0440]",""
"passed","Sat Nov 25 13:18:11 MSK 2023","Sat Nov 25 13:18:35 MSK 2023","24190","tests","test_main_wiki_page","TestMainWikiPage","","","test_search_people_from_db[\u0414\u0436\u043e\u043d\u0438-\u0414\u0435\u043f\u043f]",""
